Rank;País;Taxa de Crescimento População (%)
1;Líbia;4,85
2;Zimbábue;4,38
3;Sudão do Sul;4,23
4;Catar;4,19
5;Uganda;3,32
6;Níger;3,32
7;Burundi;3,08
8;Burkina Faso;3,06
9;Gaza;3,01
10;Deve;3,01
11;Sahara Ocidental;2,96
12;Etiópia;2,90
13;Zâmbia;2,89
14;Emirados Árabes Unidos;2,87
15;Ilhas Turks e Caicos;2,87
16;República do Congo;2,86
17;Benin;2,84
18;Tanzânia;2,82
19;Angola;2,78
20;Malawi;2,74
21;Togo;2,73
22;Ruanda;2,70
23;Madagascar;2,65
24;Guiné;2,64
25;Guiné Equatorial;2,58
26;Bahrein;2,57
27;Libéria;2,56
28;República Democrática do Congo;2,54
29;Nigéria;2,54
30;Senegal;2,51
31;Iêmen;2,50
32;Timor-Leste;2,47
33;Moçambique;2,44
34;Ilhas Virgens Britânicas;2,40
35;Eritreia;2,36
36;Serra Leoa;2,30
37;Mauritânia;2,29
38;Gâmbia, o;2,29
39;Iraque;2,29
40;Quênia;2,27
41;Djibouti;2,26
42;Afeganistão;2,25
43;Gana;2,19
44;Ilhas Cayman;2,19
45;República Centro-Africana;2,14
46;Ilhas Salomão;2,12
47;Anguilla;2,11
48;Vanuatu;2,06
49;Omã;2,06
50;Camarões;2,04
51;Cisjordânia;2,03
52;Costa do Marfim;2,00
53;Comores;1,97
54;Belize;1,97
55;Gabão;1,96
56;Cingapura;1,96
57;Guiné-Bissau;1,95
58;Chad;1,95
59;São Tomé e Príncipe;1,94
60;Guatemala;1,91
61;Argélia;1,90
62;Papua-Nova Guiné;1,89
63;Egito;1,88
64;Filipinas;1,84
65;Sudão;1,83
66;Nepal;1,81
67;Ilhas Marshall;1,79
68;Tajiquistão;1,79
69;Kuaite;1,79
70;Honduras;1,79
71;Brunei;1,67
72;Camboja;1,67
73;Somália;1,67
74;Bolívia;1,63
75;Laos;1,63
76;Bangladesh;1,59
77;Chipre;1,52
78;Paquistão;1,52
79;St. Maarten;1,51
80;Malásia;1,51
81;Arábia Saudita;1,51
82;Israel;1,50
83;Nova Caledónia;1,45
84;Venezuela;1,44
85;Mongólia;1,44
86;Cabo verde;1,41
87;Equador;1,40
88;Aruba;1,39
89;Panamá;1,38
90;Botswana;1,35
91;Índia;1,28
92;República Dominicana;1,28
93;Costa Rica;1,27
94;Antígua e Barbuda;1,26
95;Irã;1,24
96;Paraguai;1,23
97;Kiribati;1,21
98;Cazaquistão;1,20
99;Suazilândia;1,17
100;Irlanda;1,16
101;Turquia;1,16
102;Butão;1,15
103;Suriname;1,15
104;Turquemenistão;1,15
105;Luxemburgo;1,13
106;Ilha de Natal;1,12
107;Austrália;1,11
108;Colômbia;1,10
109;México;1,07
110;Birmânia;1,05
111;Nicarágua;1,05
112;Marrocos;1,04
113;Vietnã;1,03
114;Azerbaijão;1,01
115;Peru;1,00
116;Polinésia francesa;1,00
117;Indonésio;0,99
118;Haiti;0,99
119;Argentina;0,98
120;Quirguistão;0,97
121;Tunísia;0,95
122;Uzbequistão;0,94
123;San Marino;0,93
124;Estados Unidos;0,90
125;Seychelles;0,90
126;Sri Lanka;0,89
127;As Bahamas;0,89
128;Chile;0,86
129;Suíça;0,85
130;Macau;0,85
131;Nova Zelândia;0,85
132;Ilha de Man;0,84
133;Brasil;0,83
134;Jersey;0,82
135;Liechtenstein;0,81
136;Saint Kitts e Nevis;0,80
137;Canadá;0,77
138;Tuvalu;0,77
139;Namíbia;0,75
140;Fiji;0,73
141;Espanha;0,73
142;Jamaica;0,70
143;Maurícia;0,68
144;Islândia;0,66
145;Samoa;0,59
146;Nauru;0,58
147;Reino Unido;0,55
148;Bermuda;0,55
149;Coréia, norte;0,53
150;Granada;0,52
151;Tailândia;0,52
152;Montserrat;0,48
153;França;0,47
154;Ilhas Faroés;0,47
155;China;0,46
156;Países Baixos;0,44
157;Hong Kong;0,39
158;Guernsey;0,38
159;Palau;0,37
160;Santa Lúcia;0,36
161;Wallis e Futuna;0,35
162;Malta;0,34
163;Itália;0,34
164;Lesoto;0,34
165;Barbados;0,34
166;Guam;0,34
167;Noruega;0,33
168;Santa Helena, ascensão e Tristão da Cunha;0,30
169;Albânia;0,29
170;El Salvador;0,29
171;Taiwan;0,27
172;Gibraltar;0,26
173;Uruguai;0,25
174;Dinamarca;0,23
175;Macedónia;0,22
176;Dominica;0,22
177;Andorra;0,22
178;Coréia, sul;0,18
179;Suécia;0,18
180;Portugal;0,15
181;Síria;0,15
182;Jordânia;0,14
183;Armênia;0,14
184;Tonga;0,14
185;Eslováquia;0,09
186;Ilhas Marianas do Norte;0,09
187;Finlândia;0,06
188;Bélgica;0,05
189;Grécia;0,04
190;Gronelândia;0,03
191;Áustria;0,02
192;Ilhas Falkland;0,01
193;Ilha Norfolk;0,01
194;Santa Sé;0,00
195;Ilhas Pitcairn;0,00
196;Ilhas Cocos (Keeling);0,00
197;Monaco;−0,00
198;Tokelau;−0,01
199;Rússia;−0,02
200;Svalbard;−0,03
201;Niue;−0,03
202;Líbano;−0,04
203;Polônia;−0,09
204;Trinidad e Tobago;−0,09
205;Bósnia e Herzegovina;−0,10
206;Japão;−0,10
207;Croácia;−0,11
208;Maldivas;−0,11
209;Cuba;−0,13
210;República Tcheca;−0,15
211;Belarus;−0,18
212;Alemanha;−0,19
213;Hungria;−0,20
214;Guiana;−0,21
215;Eslovênia;−0,21
216;Romênia;−0,27
217;Lituânia;−0,28
218;São Vicente e Granadinas;−0,30
219;Geórgia;−0,33
220;Micronésia, Estados Federados de;−0,38
221;Samoa Americana;−0,40
222;África do Sul;−0,45
223;Sérvia e Montenegro;−0,46
224;Porto Rico;−0,47
225;Ilhas Virgens dos Estados Unidos;−0,53
226;Montenegro;−0,56
227;Letônia;−0,61
228;Ucrânia;−0,63
229;Estônia;−0,66
230;Bulgária;−0,81
231;Saint Pierre e Miquelon;−1,01
232;Moldávia;−1,02
233;Ilhas Cook;−3,07
